Latitude (decimal degrees):	51.001
Longitude (decimal degrees):	4.081
Elevation (m):	0
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20100101:0010,0.0,0.0,-0.6,4.0,0.0
20100101:0110,0.0,0.0,-0.59,4.0,0.0
20100101:0210,0.0,0.0,-0.64,4.28,0.0
20100101:0310,0.0,0.0,-0.68,4.28,0.0
20100101:0410,0.0,0.0,-0.73,4.28,0.0
20100101:0510,0.0,0.0,-0.82,4.34,0.0
20100101:0610,0.0,0.0,-0.99,4.48,0.0
20100101:0710,0.0,0.0,-0.94,4.48,0.0
20100101:0810,0.0,0.0,-0.92,4.28,0.0
20100101:0910,62.76,8.41,-0.73,3.72,0.0
20100101:1010,183.69,13.02,-0.33,4.48,0.0
20100101:1110,113.71,15.56,-0.08,5.03,0.0
20100101:1210,701.82,15.8,0.43,4.69,0.0
20100101:1310,414.39,13.72,0.65,4.62,0.0
20100101:1410,459.63,9.5,0.83,4.21,0.0
20100101:1510,141.2,3.5,0.52,3.31,0.0
20100101:1610,0.0,0.0,-0.51,2.83,0.0
20100101:1710,0.0,0.0,-1.43,2.48,0.0
20100101:1810,0.0,0.0,-2.13,2.28,0.0
20100101:1910,0.0,0.0,-2.78,2.0,0.0
20100101:2010,0.0,0.0,-3.28,1.52,0.0
20100101:2110,0.0,0.0,-2.59,1.03,0.0
20100101:2210,0.0,0.0,-3.13,1.1,0.0
20100101:2310,0.0,0.0,-4.49,1.72,0.0
20100102:0010,0.0,0.0,-4.57,1.93,0.0
20100102:0110,0.0,0.0,-3.83,1.86,0.0
20100102:0210,0.0,0.0,-3.14,2.07,0.0
20100102:0310,0.0,0.0,-2.85,1.93,0.0
20100102:0410,0.0,0.0,-2.6,2.07,0.0
20100102:0510,0.0,0.0,-2.56,2.41,0.0
20100102:0610,0.0,0.0,-2.49,2.62,0.0
20100102:0710,0.0,0.0,-2.66,2.9,0.0
