Time,V_PW,V_RW,V_PGW,V_GW,V_BW,c_PW,c_RW,c_PGW,c_GW,c_BW,C_battery_charge,E_use_renewable,E_use_grid,Q_ROPW,Q_MBRGW,Q_MBRBW,Q_ROGWBW,c_infil,Q_infil,c_infil_avg,V_infil,Q_RW_infil,Q_GW_infil,Q_BW_infil,c_sewer,Q_sewer,c_sewer_avg,V_sewer,Q_RW_sewer,Q_GW_sewer,Q_BW_sewer,c_truck_avg,V_truck,Q_GW_empty,Q_BW_empty,n_GW_empty,n_BW_empty,Q_reuse,Q_refill,n_refill,Q_GW_prod,Q_BW_prod,Q_RW_out_all,Q_RW_use,Q_rain,Q_CW_use,Q_PW_use,Q_PGW_use,Water_balance,Pollutant_balance,Water_error,Pollutant_error
2014-01-01T00:11:17.889+01:00,0,2.25,0.996886086152108,0.00300470183668716,0.00311391384789177,0,70,70,250.29636551046,127.315265320048,1.99930801914491,0.000275511105119061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132626436249526,0.00137755552559531,0,0,0,0.00132626436249526,0,0.00137755552559531,-4.27175655959289e-17,-1.96023752785379e-14,-4.27175655959289e-17,-1.96023752785379e-14
2014-01-01T00:37:35.778+01:00,0,2.25,0.995867333423214,0.00397879308748579,0.00413266657678592,0,70,70,249.30836551144,131.523737268198,1.9990816296496,0.000203750545778829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000974091250798627,0.00101875272889415,0,0,0,0.000974091250798627,0,0.00101875272889415,-1.06251812903579e-17,-1.66394675815695e-14,3.20923843055709e-17,2.96290769696839e-15
2014-01-01T01:03:53.667+01:00,0,2.25,0.995192171805184,0.00459789770219367,0.00480782819481635,0,70,70,248.289613383849,136.859628963817,1.99893159373449,0.000135032323606086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619104614707881,0.000675161618030431,0,0,0,0.000619104614707881,0,0.000675161618030431,-5.74627151417317e-17,-1.96370697480575e-14,-4.68375338513738e-17,-2.99760216648792e-15
2014-01-01T01:30:11.556+01:00,0,2.25,0.994840267773484,0.00486501118656959,0.00515973222651637,0,70,70,247.786682518576,143.755898446272,1.99885339283855,7.03808063400047e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000267113484375922,0.000351904031700023,0,0,0,0.000267113484375922,0,0.000351904031700023,-3.49113099540332e-17,-3.22519788653608e-14,2.25514051876985e-17,-1.26149091173033e-14
2014-01-01T01:56:29.445+01:00,0,2.25,0.994652145326118,0.00492368290753752,0.00534785467388233,0,70,70,247.615018272427,151.448964106953,1.99881158785025,3.76244894731911e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.86717209679362e-05,0.000188122447365956,0,0,0,5.86717209679362e-05,0,0.000188122447365956,-2.16840434497101e-19,-7.74380559676047e-15,3.46944695195361e-17,2.45081732686003e-14
2014-01-01T02:22:47.334+01:00,0,2.25,0.994546220690288,0.00492368590359809,0.00545377864033612,0,70,70,247.615044706688,159.578039530163,1.99878804904229,2.11849271658726e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.996060569e-09,0.000105923966453785,0,0,0,2.326684991e-09,0,0.000105924635829363,5.85469173142172e-18,-1.11022302462516e-14,6.07153216591882e-18,-3.3584246494911e-15
2014-01-01T02:49:05.223+01:00,0,2.25,0.99436813050833,0.00496058576188961,0.00563186882229443,0,70,70,247.66457593665,166.469670444064,1.9987484734463,3.56180363916637e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6899858291512e-05,0.000178090181958318,0,0,0,3.6899858291512e-05,0,0.000178090181958318,4.40186082029115e-17,-2.73808753448179e-14,3.81639164714898e-17,-1.62786450985664e-14
2014-01-01T03:15:23.112+01:00,0,2.25,0.994171079733524,0.00501767905565625,0.00582708924902292,0,70,70,247.793386680854,172.709687538887,1.99870468438523,3.94101549611961e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70932937666444e-05,0.000195220426728491,0,0,0,5.52629456891548e-05,0,0.00019705077480598,9.34582272682505e-17,-3.68455266297474e-14,4.9439619065339e-17,-9.46465128492946e-15
2014-01-01T03:41:41.001+01:00,0,2.25,0.994002824311795,0.00507292291366507,0.00599287500989143,0,70,70,247.975828125415,178.955490488545,1.99866729429151,3.36510843457702e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52438580088249e-05,0.000165785760868508,0,0,0,5.27741971484817e-05,0,0.000168255421728851,6.74373751285984e-17,-3.39034356144907e-14,-2.60208521396521e-17,2.94209101525666e-15
2014-01-01T04:07:58.890+01:00,0,2.25,0.993841158873609,0.00518976424262815,0.00615454044807785,0,70,70,248.0776091754,184.925192896251,1.99863136863858,3.23330876372827e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116841328963079,0.000161665438186413,0,0,0,0.000116841328963079,0,0.000161665438186413,6.31005664386564e-17,-4.40480985020031e-14,-4.33680868994202e-18,-1.01446628875124e-14
2014-01-01T04:34:16.779+01:00,0,2.25,0.993636878496374,0.00557348911204155,0.00635882082531273,0,70,70,248.163995570586,189.948690906176,1.99858597299919,4.08560754469777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000383724869413398,0.000204280377234888,0,0,0,0.000383724869413398,0,0.000204280377234888,3.0140820395097e-17,-2.25930385511219e-14,-3.29597460435593e-17,2.14550599508812e-14
2014-01-01T05:00:34.668+01:00,0,2.25,0.993409715565867,0.00600578550806661,0.00658528883929775,0,70,70,248.198658119786,194.323690292273,1.99853549234797,4.54325861013147e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000432296396025055,0.000226468013985011,0,0,0,0.000431601479503493,0,0.000227162930506573,7.61109925084824e-17,-2.18436380095e-14,4.59701721133854e-17,7.49400541621981e-16
2014-01-01T05:26:52.557+01:00,0,2.25,0.993100242871522,0.00635649074899629,0.00686719903727802,0,70,70,248.976609753284,197.572921132044,1.99846672063812,6.18945388690182e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000350705240929685,0.000281910197980276,0,0,0,0.00032314274456487,0,0.000309472694345091,9.95297594341693e-17,-3.83304499251835e-14,2.34187669256869e-17,-1.64868119156836e-14
2014-01-01T05:53:10.446+01:00,0,2.25,0.992630252467369,0.00701285910242212,0.00732295970885915,0,70,70,249.384269020392,198.059715107397,1.99836227832608,9.39980808305202e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656368353425826,0.00045576067158113,0,0,0,0.000642138620854355,0,0.000469990404152601,1.29887420263763e-16,-3.01147995429574e-14,3.03576608295941e-17,8.21565038222616e-15
2014-01-01T06:19:28.335+01:00,0,2.25,0.991788595774092,0.00917420729572312,0.00816461640213696,0,70,70,249.455512357369,193.598094237038,1.99817524350535,0.000168331338655561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002161348193301,0.000841656693277805,0,0,0,0.002161348193301,0,0.000841656693277805,1.74122868901172e-16,-1.52933221642115e-14,4.42354486374086e-17,1.48214773787458e-14
2014-01-01T06:45:46.224+01:00,0,2.25,0.99042332565797,0.0135963231841091,0.00952988651825877,0,70,70,249.432712120973,184.752285284573,1.99787185014622,0.000273054023224362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004422115888386,0.00136527011612181,0,0,0,0.004422115888386,0,0.00136527011612181,2.26164573180476e-16,-3.66651153882458e-14,5.20417042793042e-17,-2.13717932240343e-14
